Model,Origin,Year,Cylinders,Horsepower,MPG,Weight
amc ambassador dpl,US,70,8,190,15,"3,850"
chevrolet vega (sw),US,71,4,72,22,"2,408"
chevrolet vega,US,72,4,90,20,"2,408"
ford pinto runabout,US,72,4,86,21,"2,226"
mazda rx2 coupe,Japan,72,3,97,19,"2,330"
amc matador (sw),US,72,8,150,15,"3,892"
ford pinto (sw),US,72,4,86,22,"2,395"
dodge coronet custom,US,73,8,150,15,"3,777"
toyota carina,Japan,73,4,88,20,"2,279"
chevrolet vega,US,73,4,72,21,"2,401"
datsun 610,Japan,73,4,94,22,"2,379"
ford pinto,US,73,4,85,19,"2,310"
chevrolet chevelle malibu classic,US,74,6,100,16,"3,781"
buick century,US,75,6,110,17,"3,907"
chevroelt chevelle malibu,US,75,6,105,16,"3,897"
plymouth fury,US,75,6,95,18,"3,785"
amc matador,US,76,8,120,15.5,"3,962"
mercedes-benz 280s,Europe,76,6,120,16.5,"3,820"
chevrolet caprice classic,US,77,8,145,17.5,"3,880"
chevrolet caprice classic,US,79,8,130,17,"3,840"
mercury grand marquis,US,79,8,138,16.5,"3,955"
dodge st. regis,US,79,8,135,18.2,"3,830"
vw rabbit,Europe,80,4,76,41.5,"2,144"
mazda glc,Japan,80,4,65,46.6,"2,110"
vw pickup,Europe,82,4,52,44,"2,130"
kia carnival ,Korea,90,6,144,36,"3,567"
bmw 330,Europe,88,4,149,28,"2,599"
hyundai elantra,Korea,89,4,132,22,"2,156"
kia soul,Korea,86,4,121,19,"2,200"
audi a80,Europe,85,4,124,19,"2,563"
